Country,Unit,Pred_week_1,Pred_week_2,Pred_week_3,Pred_week_4,Pred_week_5,MAE_week_1,stdAE_week_1,RMSE_week_1,stdRMSE_week_1,MAE_week_2,stdAE_week_2,RMSE_week_2,stdRMSE_week_2,MAE_week_3,stdAE_week_3,RMSE_week_3,stdRMSE_week_3,MAE_week_4,stdAE_week_4,RMSE_week_4,stdRMSE_week_4,MAE_week_5,stdAE_week_5,RMSE_week_5,stdRMSE_week_5
Ukraine,per million inhabitant,23,1349,1607,1683,2521,1476,1719,1844,2680,1605,1881,2050,3028,1726,2004,2220,3207,1840,2109,2372,3322
United Kingdom,per million inhabitant,9,2172,2638,2776,4293,2401,2841,3068,4581,2636,3134,3441,5212,2855,3358,3749,5535,3060,3548,4024,5744
United Arab Emirates,per million inhabitant,0,29,34,36,53,32,37,39,56,34,40,43,63,37,42,47,66,39,44,50,69
United States of America,per million inhabitant,34,10498,11840,12236,16597,11158,12423,13074,17425,11831,13265,14147,19240,12462,13908,15034,20169,13053,14454,15823,20769
United States Virgin Islands,per million inhabitant,0,1,1,1,2,1,1,2,3,1,2,2,3,1,2,2,3,2,2,2,3
Uruguay,per million inhabitant,2,100,127,135,225,113,139,153,242,127,157,175,280,140,170,193,299,152,181,209,311
Uzbekistan,per million inhabitant,0,20,24,25,36,22,25,27,38,23,27,30,43,25,29,32,46,27,30,34,47
Venezuela (Bolivarian Republic of),per million inhabitant,0,69,79,82,114,74,83,88,120,79,90,96,133,84,94,102,140,88,98,108,144
Viet Nam,per million inhabitant,12,526,679,724,1221,601,745,819,1315,678,841,942,1522,750,914,1043,1628,817,977,1133,1696
Yemen,per million inhabitant,0,28,34,36,55,31,37,40,59,34,40,44,67,37,43,48,71,39,46,52,74
Zambia,per million inhabitant,2,61,80,85,144,70,87,96,155,79,99,111,179,88,107,123,192,96,115,133,200
Zimbabwe,per million inhabitant,10,81,104,110,185,92,114,125,199,103,128,143,230,114,139,158,246,124,148,172,256
