Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2021-10-13,BR,Brazil,AMRO,6918,21582738,202,601213
2021-10-14,BR,Brazil,AMRO,7359,21590097,185,601398
2021-10-15,BR,Brazil,AMRO,7852,21597949,176,601574
2021-10-16,BR,Brazil,AMRO,14288,21612237,525,602099
2021-10-17,BR,Brazil,AMRO,15239,21627476,570,602669
2021-10-18,BR,Brazil,AMRO,11250,21638726,483,603152
2021-10-19,BR,Brazil,AMRO,5738,21644464,130,603282
2021-10-20,BR,Brazil,AMRO,7446,21651910,183,603465
2021-10-21,BR,Brazil,AMRO,12969,21664879,390,603855
2021-10-22,BR,Brazil,AMRO,15609,21680488,373,604228
2021-10-23,BR,Brazil,AMRO,16853,21697341,451,604679
2021-10-24,BR,Brazil,AMRO,14502,21711843,460,605139
2021-10-25,BR,Brazil,AMRO,11716,21723559,318,605457
2021-10-26,BR,Brazil,AMRO,6204,21729763,187,605644
2021-10-27,BR,Brazil,AMRO,5797,21735560,160,605804
2021-10-28,BR,Brazil,AMRO,13424,21748984,442,606246
2021-10-29,BR,Brazil,AMRO,17184,21766168,433,606679
2021-10-30,BR,Brazil,AMRO,15268,21781436,389,607068
2021-10-31,BR,Brazil,AMRO,11965,21793401,394,607462
2021-11-01,BR,Brazil,AMRO,10693,21804094,232,607694
2021-11-02,BR,Brazil,AMRO,6761,21810855,130,607824
2021-11-03,BR,Brazil,AMRO,3838,21814693,98,607922
2021-11-04,BR,Brazil,AMRO,6431,21821124,149,608071
2021-11-05,BR,Brazil,AMRO,14661,21835785,164,608235
2021-11-06,BR,Brazil,AMRO,13352,21849137,436,608671
2021-11-07,BR,Brazil,AMRO,13321,21862458,389,609060
2021-11-08,BR,Brazil,AMRO,11866,21874324,328,609388
2021-11-09,BR,Brazil,AMRO,6115,21880439,59,609447
2021-11-10,BR,Brazil,AMRO,5638,21886077,126,609573
2021-11-11,BR,Brazil,AMRO,10948,21897025,183,609756
2021-11-12,BR,Brazil,AMRO,12273,21909298,280,610036
2021-11-13,BR,Brazil,AMRO,15300,21924598,188,610224
2021-11-14,BR,Brazil,AMRO,14598,21939196,267,610491
2021-11-15,BR,Brazil,AMRO,14642,21953838,731,611222
2021-11-16,BR,Brazil,AMRO,4129,21957967,61,611283
2021-11-17,BR,Brazil,AMRO,2799,21960766,63,611346
2021-11-18,BR,Brazil,AMRO,4918,21965684,132,611478
2021-11-19,BR,Brazil,AMRO,11977,21977661,373,611851
2021-11-20,BR,Brazil,AMRO,12301,21989962,293,612144
2021-11-21,BR,Brazil,AMRO,13355,22003317,226,612370
2021-11-22,BR,Brazil,AMRO,8833,22012150,217,612587
2021-11-23,BR,Brazil,AMRO,5126,22017276,72,612659
2021-11-24,BR,Brazil,AMRO,2594,22019870,123,612782
2021-11-25,BR,Brazil,AMRO,10312,22030182,284,613066
2021-11-26,BR,Brazil,AMRO,12930,22043112,273,613339
2021-11-27,BR,Brazil,AMRO,12126,22055238,303,613642
2021-11-28,BR,Brazil,AMRO,12392,22067630,315,613957
2021-11-29,BR,Brazil,AMRO,9233,22076863,229,614186
2021-11-30,BR,Brazil,AMRO,4043,22080906,92,614278
2021-12-01,BR,Brazil,AMRO,3843,22084749,98,614376
2021-12-02,BR,Brazil,AMRO,9710,22094459,305,614681
2021-12-03,BR,Brazil,AMRO,11413,22105872,283,614964
2021-12-04,BR,Brazil,AMRO,12910,22118782,215,615179
2021-12-05,BR,Brazil,AMRO,10627,22129409,221,615400
2021-12-06,BR,Brazil,AMRO,8838,22138247,170,615570
2021-12-07,BR,Brazil,AMRO,4844,22143091,66,615636
2021-12-08,BR,Brazil,AMRO,4385,22147476,108,615744
2021-12-09,BR,Brazil,AMRO,10250,22157726,274,616018
2021-12-10,BR,Brazil,AMRO,10055,22167781,233,616251
2021-12-11,BR,Brazil,AMRO,9278,22177059,206,616457
2021-12-12,BR,Brazil,AMRO,7765,22184824,234,616691
2021-12-13,BR,Brazil,AMRO,3355,22188179,53,616744
2021-12-14,BR,Brazil,AMRO,1688,22189867,86,616830
2021-12-15,BR,Brazil,AMRO,2082,22191949,48,616878
2021-12-16,BR,Brazil,AMRO,3826,22195775,92,616970
2021-12-17,BR,Brazil,AMRO,5446,22201221,301,617271
2021-12-18,BR,Brazil,AMRO,3720,22204941,124,617395
2021-12-19,BR,Brazil,AMRO,0,22204941,0,617395
2021-12-20,BR,Brazil,AMRO,0,22204941,0,617395
2021-12-21,BR,Brazil,AMRO,8821,22213762,408,617803
2021-12-22,BR,Brazil,AMRO,2094,22215856,70,617873
2021-12-23,BR,Brazil,AMRO,3621,22219477,75,617948
2021-12-24,BR,Brazil,AMRO,3451,22222928,143,618091
2021-12-25,BR,Brazil,AMRO,3645,22226573,137,618228
2021-12-26,BR,Brazil,AMRO,4164,22230737,164,618392
2021-12-27,BR,Brazil,AMRO,0,22230737,0,618392
2021-12-28,BR,Brazil,AMRO,8699,22239436,56,618448
2021-12-29,BR,Brazil,AMRO,6840,22246276,86,618534
2020-01-03,FR,France,EURO,0,0,0,0
2020-01-04,FR,France,EURO,0,0,0,0
2020-01-05,FR,France,EURO,0,0,0,0
2020-01-06,FR,France,EURO,0,0,0,0
2020-01-07,FR,France,EURO,0,0,0,0
2020-01-08,FR,France,EURO,0,0,0,0
2020-01-09,FR,France,EURO,0,0,0,0
2020-01-10,FR,France,EURO,0,0,0,0
2020-01-11,FR,France,EURO,0,0,0,0
2020-01-12,FR,France,EURO,0,0,0,0
2020-01-13,FR,France,EURO,0,0,0,0
2020-01-14,FR,France,EURO,0,0,0,0
2020-01-15,FR,France,EURO,0,0,0,0
2020-01-16,FR,France,EURO,0,0,0,0
2020-01-17,FR,France,EURO,0,0,0,0
2020-01-18,FR,France,EURO,0,0,0,0
2020-01-19,FR,France,EURO,0,0,0,0
2020-01-20,FR,France,EURO,0,0,0,0
2020-01-21,FR,France,EURO,0,0,0,0
2020-01-22,FR,France,EURO,0,0,0,0
2020-01-23,FR,France,EURO,0,0,0,0
2020-01-24,FR,France,EURO,3,3,0,0
2020-01-25,FR,France,EURO,0,3,0,0
2020-01-26,FR,France,EURO,0,3,0,0
2020-01-27,FR,France,EURO,0,3,0,0
2020-01-28,FR,France,EURO,0,3,0,0
2020-01-29,FR,France,EURO,1,4,0,0
2020-01-30,FR,France,EURO,1,5,0,0
2020-01-31,FR,France,EURO,1,6,0,0
2020-02-01,FR,France,EURO,0,6,0,0
2020-02-02,FR,France,EURO,0,6,0,0
2020-02-03,FR,France,EURO,0,6,0,0
2020-02-04,FR,France,EURO,0,6,0,0
2020-02-05,FR,France,EURO,0,6,0,0
2020-02-06,FR,France,EURO,0,6,0,0
2020-02-07,FR,France,EURO,0,6,0,0
2020-02-08,FR,France,EURO,5,11,0,0
2020-02-09,FR,France,EURO,0,11,0,0
