Country,Pred_week_1,Pred_week_2,Pred_week_3,Pred_week_4,Pred_week_5,MAE_week_1,stdAE_week_1,RMSE_week_1,stdRMSE_week_1,MAE_week_2,stdAE_week_2,RMSE_week_2,stdRMSE_week_2,MAE_week_3,stdAE_week_3,RMSE_week_3,stdRMSE_week_3,MAE_week_4,stdAE_week_4,RMSE_week_4,stdRMSE_week_4,MAE_week_5,stdAE_week_5,RMSE_week_5,stdRMSE_week_5
Turks and Caicos Islands,3222,1360,1371,1379,1432,1390,1418,1434,1519,1431,1468,1499,1618,1474,1517,1564,1713,1519,1566,1630,1804
Uganda,131997,43174,43614,43917,46030,44371,45450,46109,49455,45980,47448,48668,53375,47681,49390,51242,57115,49459,51294,53837,60718
Ukraine,3717307,1199791,1210575,1218025,1269834,1229150,1255613,1271779,1353854,1268613,1304614,1334545,1449987,1310344,1352249,1397669,1541717,1353954,1398952,1461321,1630101
United Kingdom,11807464,3300915,3332039,3353541,3503071,3385649,3462028,3508686,3745568,3499546,3603452,3689838,4023026,3619990,3740936,3872026,4287775,3745855,3875730,4055736,4542865
United Arab Emirates,755283,323518,326253,328143,341285,330965,337678,341778,362597,340975,350107,357699,386982,351560,362190,373711,410250,362622,374036,389857,432669
United States of America,52029320,20336936,20497165,20607860,21377656,20773155,21166359,21406559,22626055,21359507,21894427,22339149,24054437,21979565,22602210,23277077,25417393,22627535,23296141,24222835,26730626
United States Virgin Islands,7865,2609,2632,2649,2761,2673,2730,2765,2943,2758,2836,2901,3151,2848,2939,3037,3349,2943,3040,3175,3541
Uruguay,412546,136812,138405,139505,147157,141148,145057,147445,159568,146977,152295,156716,173767,153141,159331,166039,187316,159582,166229,175441,200371
Uzbekistan,201664,77042,77635,78044,80889,78655,80108,80995,85502,80822,82798,84442,90781,83113,85414,87908,95818,85508,87979,91403,100671
Venezuela (Bolivarian Republic of),452509,152778,154143,155086,161644,156494,159844,161890,172278,161489,166046,169834,184445,166771,172075,177823,196055,172290,177986,185880,207242
Viet Nam,1506429,181522,185115,187597,204858,191303,200120,205506,232851,204451,216445,226417,264879,218355,232316,247448,295440,232884,247876,268655,324887
Yemen,10292,3823,3856,3878,4034,3911,3991,4040,4286,4030,4138,4228,4575,4156,4281,4418,4851,4287,4422,4609,5117
Zambia,221721,75440,76219,76757,80500,77561,79473,80641,86570,80412,83013,85175,93514,83426,86454,89735,100141,86577,89827,94333,106525
Zimbabwe,197503,42664,43158,43499,45873,44009,45221,45962,49723,45817,47467,48838,54128,47729,49649,51730,58331,49727,51789,54647,62381
